Winner,Loser,Winner_Name,Loser_Name
7,82,['Guillermo-Garcia-Lopez'],['Alex-Bogomolov-Jr']
18,7,['Ivan-Dodig'],['Guillermo-Garcia-Lopez']
7,84,['Guillermo-Garcia-Lopez'],['Michael-Berrer']
7,59,['Guillermo-Garcia-Lopez'],['Eduardo-Schwank']
11,7,['Andy-Murray'],['Guillermo-Garcia-Lopez']
55,7,['Sergiy-Stakhovsky'],['Guillermo-Garcia-Lopez']
7,52,['Guillermo-Garcia-Lopez'],['Mikhail-Kukushkin']
8,20,['Florian-Mayer'],['Radek-Stepanek']
8,20,['Florian-Mayer'],['Radek-Stepanek']
20,8,['Radek-Stepanek'],['Florian-Mayer']
8,48,['Florian-Mayer'],['Janko-Tipsarevic']
8,23,['Florian-Mayer'],['Ivan-Ljubicic']
23,8,['Ivan-Ljubicic'],['Florian-Mayer']
47,8,['Stanislas-Wawrinka'],['Florian-Mayer']
8,44,['Florian-Mayer'],['Fabio-Fognini']
8,13,['Florian-Mayer'],['David-Nalbandian']
25,8,['Feliciano-Lopez'],['Florian-Mayer']
25,8,['Feliciano-Lopez'],['Florian-Mayer']
8,73,['Florian-Mayer'],['Albert-Ramos']
8,73,['Florian-Mayer'],['Albert-Ramos']
8,51,['Florian-Mayer'],['Carlos-Berlocq']
8,22,['Florian-Mayer'],['Pablo-Andujar']
8,61,['Florian-Mayer'],['Adrian-Mannarino']
30,8,['David-Ferrer'],['Florian-Mayer']
8,36,['Florian-Mayer'],['Ivo-Karlovic']
36,8,['Ivo-Karlovic'],['Florian-Mayer']
12,8,['Richard-Gasquet'],['Florian-Mayer']
12,8,['Richard-Gasquet'],['Florian-Mayer']
8,43,['Florian-Mayer'],['Nicolas-Almagro']
43,8,['Nicolas-Almagro'],['Florian-Mayer']
76,8,['Xavier-Malisse'],['Florian-Mayer']
8,89,['Florian-Mayer'],['Dustin-Brown']
8,81,['Florian-Mayer'],['Yen-Hsun-Lu']
29,8,['Gael-Monfils'],['Florian-Mayer']
8,68,['Florian-Mayer'],['Igor-Kunitsyn']
8,80,['Florian-Mayer'],['Viktor-Troicki']
8,80,['Florian-Mayer'],['Viktor-Troicki']
80,8,['Viktor-Troicki'],['Florian-Mayer']
8,46,['Florian-Mayer'],['Marcel-Granollers']
8,77,['Florian-Mayer'],['Jurgen-Melzer']
8,79,['Florian-Mayer'],['Juan-Ignacio-Chela']
11,8,['Andy-Murray'],['Florian-Mayer']
90,8,['Thomaz-Bellucci'],['Florian-Mayer']
8,54,['Florian-Mayer'],['Grigor-Dimitrov']
8,65,['Florian-Mayer'],['Philipp-Petzschner']
8,41,['Florian-Mayer'],['Nikolay-Davydenko']
41,8,['Nikolay-Davydenko'],['Florian-Mayer']
8,53,['Florian-Mayer'],['Mikhail-Youzhny']
8,91,['Florian-Mayer'],['Albert-Montanes']
34,8,['Tomas-Berdych'],['Florian-Mayer']
8,26,['Florian-Mayer'],['Marin-Cilic']
26,8,['Marin-Cilic'],['Florian-Mayer']
8,31,['Florian-Mayer'],['Jarkko-Nieminen']
16,8,['Novak-Djokovic'],['Florian-Mayer']
84,8,['Michael-Berrer'],['Florian-Mayer']
32,8,['Kei-Nishikori'],['Florian-Mayer']
8,74,['Florian-Mayer'],['Potito-Starace']
8,38,['Florian-Mayer'],['Bernard-Tomic']
26,9,['Marin-Cilic'],['Milos-Raonic']
9,27,['Milos-Raonic'],['Marcos-Baghdatis']
9,65,['Milos-Raonic'],['Philipp-Petzschner']
65,9,['Philipp-Petzschner'],['Milos-Raonic']
9,54,['Milos-Raonic'],['Grigor-Dimitrov']
9,29,['Milos-Raonic'],['Gael-Monfils']
29,9,['Gael-Monfils'],['Milos-Raonic']
9,28,['Milos-Raonic'],['Michael-Llodra']
9,28,['Milos-Raonic'],['Michael-Llodra']
9,28,['Milos-Raonic'],['Michael-Llodra']
30,9,['David-Ferrer'],['Milos-Raonic']
30,9,['David-Ferrer'],['Milos-Raonic']
30,9,['David-Ferrer'],['Milos-Raonic']
14,9,['Gilles-Muller'],['Milos-Raonic']
9,22,['Milos-Raonic'],['Pablo-Andujar']
84,9,['Michael-Berrer'],['Milos-Raonic']
9,17,['Milos-Raonic'],['Fernando-Verdasco']
9,17,['Milos-Raonic'],['Fernando-Verdasco']
17,9,['Fernando-Verdasco'],['Milos-Raonic']
17,9,['Fernando-Verdasco'],['Milos-Raonic']
25,9,['Feliciano-Lopez'],['Milos-Raonic']
9,78,['Milos-Raonic'],['Igor-Andreev']
9,42,['Milos-Raonic'],['Gilles-Simon']
9,20,['Milos-Raonic'],['Radek-Stepanek']
9,20,['Milos-Raonic'],['Radek-Stepanek']
18,9,['Ivan-Dodig'],['Milos-Raonic']
9,40,['Milos-Raonic'],['Ernests-Gulbis']
35,9,['Somdev-K-Devvarman'],['Milos-Raonic']
72,9,['Ryan-Harrison'],['Milos-Raonic']
9,88,['Milos-Raonic'],['Robert-Kendrick']
15,9,['Andy-Roddick'],['Milos-Raonic']
9,76,['Milos-Raonic'],['Xavier-Malisse']
9,66,['Milos-Raonic'],['James-Blake']
9,81,['Milos-Raonic'],['Yen-Hsun-Lu']
9,53,['Milos-Raonic'],['Mikhail-Youzhny']
20,10,['Radek-Stepanek'],['Santiago-Giraldo']
10,18,['Santiago-Giraldo'],['Ivan-Dodig']
